rq,pair_id,persona_a,persona_b,history_final_type,summary_final_type,history_drift,summary_drift
RQ1,ENTJ_to_INFJ,ENTJ,INFJ,INFJ,INFJ,False,False
RQ1,ENTJ_to_ENFJ,ENTJ,ENFJ,ENFJ,ENFJ,False,False
RQ1,ENTJ_to_ISFJ,ENTJ,ISFJ,ISFJ,ISFJ,False,False
RQ1,ENTJ_to_ENTP,ENTJ,ENTP,ENTP,ENTP,False,False
RQ1,ENTJ_to_ISTP,ENTJ,ISTP,ISTP,ISTP,False,False
RQ1,ENTJ_to_ENFP,ENTJ,ENFP,ENFP,ENFP,False,False
RQ1,ENTJ_to_ISTJ,ENTJ,ISTJ,ISTJ,ISTJ,False,False
RQ1,ENTJ_to_INFP,ENTJ,INFP,INFP,INFP,False,False
RQ1,ENTJ_to_ESFJ,ENTJ,ESFJ,ESFJ,ESFJ,False,False
RQ1,ENTP_to_INTJ,ENTP,INTJ,INTJ,INTJ,False,False
RQ1,ENTP_to_INFJ,ENTP,INFJ,INFJ,INFJ,False,False
RQ1,ENTP_to_ENFP,ENTP,ENFP,ENFP,ENFP,False,False
RQ1,ENTP_to_ISTJ,ENTP,ISTJ,ISTJ,ISTJ,False,False
RQ1,ENTP_to_INFP,ENTP,INFP,INFP,INFP,False,False
RQ1,ENTP_to_ESTJ,ENTP,ESTJ,ESTJ,ESTJ,False,False
RQ1,ISTP_to_ENTJ,ISTP,ENTJ,ESTJ,ESTJ,True,True
RQ1,ENFP_to_INTJ,ENFP,INTJ,INTJ,INTJ,False,False
RQ1,ENFP_to_ENFJ,ENFP,ENFJ,ENFJ,ENFJ,False,False
RQ1,ENFP_to_ISFJ,ENFP,ISFJ,ISFJ,ISFJ,False,False
RQ1,ENFP_to_ISTP,ENFP,ISTP,ISTP,ISTP,False,False
RQ1,ENFP_to_ISTJ,ENFP,ISTJ,ISTJ,ISTJ,False,False
RQ1,ENFP_to_INFP,ENFP,INFP,INFP,INFP,False,False
RQ1,ENFP_to_ESFJ,ENFP,ESFJ,ESFJ,ESFJ,False,False
RQ1,ENFP_to_ESTJ,ENFP,ESTJ,ESTJ,ESTJ,False,False
RQ1,ISTJ_to_INFJ,ISTJ,INFJ,INFJ,INFJ,False,False
RQ1,ISTJ_to_ENFJ,ISTJ,ENFJ,ENFJ,ENFJ,False,False
RQ1,ISTJ_to_ISFJ,ISTJ,ISFJ,ISFJ,ISFJ,False,False
RQ1,ISTJ_to_ESFJ,ISTJ,ESFJ,ESFJ,ESFJ,False,False
RQ1,ISTJ_to_ESTJ,ISTJ,ESTJ,ESTJ,ESTJ,False,False
RQ1,INFP_to_INTJ,INFP,INTJ,INTJ,INTJ,False,False
RQ1,INFP_to_INFJ,INFP,INFJ,INFJ,INFJ,False,False
RQ1,INFP_to_ENFJ,INFP,ENFJ,ENFJ,ENFJ,False,False
RQ1,INFP_to_ISFJ,INFP,ISFJ,ISFJ,ISFJ,False,False
RQ1,INFP_to_ENTJ,INFP,ENTJ,ESTJ,ESTJ,True,True
RQ1,INFP_to_ENTP,INFP,ENTP,ENTP,ENTP,False,False
RQ1,INFP_to_ISTP,INFP,ISTP,ISTP,ISTP,False,False
RQ1,INFP_to_ENFP,INFP,ENFP,ENFP,ENFP,False,False
RQ1,INFP_to_ISTJ,INFP,ISTJ,ISTJ,ISTJ,False,False
RQ1,INFP_to_ESFJ,INFP,ESFJ,ESFJ,ESFJ,False,False
RQ1,INFP_to_ESTJ,INFP,ESTJ,ESTJ,ESTJ,False,False
RQ1,ESFJ_to_INTJ,ESFJ,INTJ,INTJ,INTJ,False,False
RQ1,ESFJ_to_INFJ,ESFJ,INFJ,INFJ,INFJ,False,False
RQ1,ESFJ_to_ENFJ,ESFJ,ENFJ,ENFJ,ENFJ,False,False
RQ1,ESFJ_to_ISFJ,ESFJ,ISFJ,ISFJ,ISFJ,False,False
RQ1,ESFJ_to_ENTJ,ESFJ,ENTJ,ESTJ,ESTJ,True,True
RQ1,ESFJ_to_ENTP,ESFJ,ENTP,ENTP,ENTP,False,False
RQ1,ESFJ_to_ISTP,ESFJ,ISTP,ISTP,ISTP,False,False
RQ1,ESFJ_to_ENFP,ESFJ,ENFP,ENFP,ENFP,False,False
RQ1,ESFJ_to_ISTJ,ESFJ,ISTJ,ISTJ,ISTJ,False,False
RQ1,ESFJ_to_INFP,ESFJ,INFP,INFP,INFP,False,False
RQ1,ESFJ_to_ESTJ,ESFJ,ESTJ,ESTJ,ESTJ,False,False
RQ1,ESTJ_to_INTJ,ESTJ,INTJ,INTJ,INTJ,False,False
RQ1,ESTJ_to_INFJ,ESTJ,INFJ,INFJ,INFJ,False,False
RQ1,ESTJ_to_ENFJ,ESTJ,ENFJ,ENFJ,ENFJ,False,False
RQ1,ESTJ_to_ISFJ,ESTJ,ISFJ,ISFJ,ISFJ,False,False
RQ1,ESTJ_to_ENTP,ESTJ,ENTP,ENTP,ENTP,False,False
RQ1,ESTJ_to_ISTP,ESTJ,ISTP,ISTP,ISTP,False,False
RQ1,ESTJ_to_ENFP,ESTJ,ENFP,ENFP,ENFP,False,False
RQ1,ESTJ_to_INFP,ESTJ,INFP,INFP,INFP,False,False
RQ1,ESTJ_to_ESFJ,ESTJ,ESFJ,ESFJ,ESFJ,False,False
