rq,persona_a,persona_b,pair_id,retain_mechanism,default_control_run_id,default_control_final_type,strong_control_run_id,strong_control_final_type,target_persona_b,stable_control
RQ2,ISTJ,INFP,ISTJ_to_INFP,history,persona_20260410T231840Z_4b33d130,INFP,persona_20260412T173759Z_9f05309c,INFP,INFP,True
RQ2,ISTJ,INFP,ISTJ_to_INFP,summary,persona_20260410T231902Z_95ac9667,INFP,persona_20260412T173759Z_29e38b96,INFP,INFP,True
RQ2,ESTJ,ENTJ,ESTJ_to_ENTJ,history,persona_20260411T155607Z_f883642f,ESTJ,persona_20260412T174240Z_bebcceec,ESTJ,ENTJ,False
RQ2,ESTJ,ENTJ,ESTJ_to_ENTJ,summary,persona_20260411T155633Z_b2b73c30,ESTJ,persona_20260412T174240Z_78a29076,ESTJ,ENTJ,False
RQ2,INTJ,INFJ,INTJ_to_INFJ,history,persona_20260410T054225Z_cb886016,INFJ,persona_20260412T174840Z_221fd3e5,INFJ,INFJ,True
RQ2,INTJ,INFJ,INTJ_to_INFJ,summary,persona_20260410T054610Z_100e2256,INFJ,persona_20260412T175107Z_4489055a,INFJ,INFJ,True
RQ2,INTJ,ENFJ,INTJ_to_ENFJ,history,persona_20260410T055640Z_4c08d085,ENFJ,persona_20260412T180005Z_8b5cca9c,ENFJ,ENFJ,True
RQ2,INTJ,ENFJ,INTJ_to_ENFJ,summary,persona_20260410T060031Z_cc26a944,ENFJ,persona_20260412T180005Z_36e4634f,ENFJ,ENFJ,True
RQ2,INTJ,ISFJ,INTJ_to_ISFJ,history,persona_20260410T061145Z_c435bff5,ISFJ,persona_20260412T180532Z_e0cecacb,ISFJ,ISFJ,True
RQ2,INTJ,ISFJ,INTJ_to_ISFJ,summary,persona_20260410T061515Z_9e081da9,ISFJ,persona_20260412T180533Z_eef46e1c,ISFJ,ISFJ,True
RQ2,INTJ,ENTJ,INTJ_to_ENTJ,history,persona_20260410T062642Z_38dd648d,ESTJ,persona_20260412T181019Z_4333fcca,ESTJ,ENTJ,False
RQ2,INTJ,ENTJ,INTJ_to_ENTJ,summary,persona_20260410T063057Z_675c23aa,ESTJ,persona_20260412T181020Z_e6404b9a,ESTJ,ENTJ,False
RQ2,INTJ,ENTP,INTJ_to_ENTP,history,persona_20260410T064230Z_e25d1f62,ENTP,persona_20260412T181509Z_a58e8b1c,ENTP,ENTP,True
RQ2,INTJ,ENTP,INTJ_to_ENTP,summary,persona_20260410T064617Z_6232676d,ENTP,persona_20260412T181509Z_aa2e35d7,ENTP,ENTP,True
RQ2,INTJ,ISTP,INTJ_to_ISTP,history,persona_20260410T071519Z_06552afb,ISTP,persona_20260412T181945Z_5770413d,ISTP,ISTP,True
RQ2,INTJ,ISTP,INTJ_to_ISTP,summary,persona_20260410T071952Z_e5eeb879,ISTP,persona_20260412T181945Z_779497a4,ISTP,ISTP,True
RQ2,INTJ,ENFP,INTJ_to_ENFP,history,persona_20260410T074918Z_14139660,ENFP,persona_20260412T182433Z_1ec8aa07,ENFP,ENFP,True
RQ2,INTJ,ENFP,INTJ_to_ENFP,summary,persona_20260410T075301Z_d79f4f04,ENFP,persona_20260412T182433Z_8d8dbd41,ENFP,ENFP,True
RQ2,INTJ,INFP,INTJ_to_INFP,history,persona_20260410T083457Z_e452e459,INFP,persona_20260412T182909Z_12ab97fb,INFP,INFP,True
RQ2,INTJ,INFP,INTJ_to_INFP,summary,persona_20260410T083834Z_79d5a6d5,INFP,persona_20260412T182909Z_74c403e0,INFP,INFP,True
RQ2,INTJ,ESFJ,INTJ_to_ESFJ,history,persona_20260410T084953Z_4751dc5f,ESFJ,persona_20260412T183350Z_b3d31d95,ESFJ,ESFJ,True
RQ2,INTJ,ESFJ,INTJ_to_ESFJ,summary,persona_20260410T085259Z_e4c43f90,ESFJ,persona_20260412T183350Z_9eff0e2c,ESFJ,ESFJ,True
RQ2,INTJ,ESTJ,INTJ_to_ESTJ,history,persona_20260410T090245Z_5007b377,ESTJ,persona_20260412T183841Z_27253166,ESTJ,ESTJ,True
RQ2,INTJ,ESTJ,INTJ_to_ESTJ,summary,persona_20260410T090625Z_ae234c15,ESTJ,persona_20260412T184144Z_d21ab886,ESTJ,ESTJ,True
RQ2,INFJ,INFP,INFJ_to_INFP,history,persona_20260410T131213Z_aa0c26fa,INFP,persona_20260412T184934Z_48fc40b8,INFP,INFP,True
RQ2,INFJ,INFP,INFJ_to_INFP,summary,persona_20260410T131234Z_8728fc4a,INFP,persona_20260412T184934Z_3cd214de,INFP,INFP,True
RQ2,ENFJ,INTJ,ENFJ_to_INTJ,history,persona_20260411T040901Z_53553210,INTJ,persona_20260412T185356Z_66083ecc,INTJ,INTJ,True
RQ2,ENFJ,INTJ,ENFJ_to_INTJ,summary,persona_20260411T040930Z_adf6b02c,INTJ,persona_20260412T185356Z_b910d929,INTJ,INTJ,True
RQ2,ENFJ,INFJ,ENFJ_to_INFJ,history,persona_20260411T081702Z_09cffdeb,INFJ,persona_20260412T185903Z_659cd249,INFJ,INFJ,True
RQ2,ENFJ,INFJ,ENFJ_to_INFJ,summary,persona_20260411T081726Z_c69fa85a,INFJ,persona_20260412T185903Z_3b28e131,INFJ,INFJ,True
RQ2,ENFJ,ISFJ,ENFJ_to_ISFJ,history,persona_20260410T134142Z_205efad1,ISFJ,persona_20260412T190502Z_05a24d71,ISFJ,ISFJ,True
RQ2,ENFJ,ISFJ,ENFJ_to_ISFJ,summary,persona_20260410T134203Z_65a62c0e,ISFJ,persona_20260412T190502Z_748cebeb,ISFJ,ISFJ,True
RQ2,ENFJ,ENTJ,ENFJ_to_ENTJ,history,persona_20260410T135157Z_7916be51,ESTJ,persona_20260413T010922Z_6731cc17,ESTJ,ENTJ,False
RQ2,ENFJ,ENTJ,ENFJ_to_ENTJ,summary,persona_20260410T135219Z_88ab4b1c,ESTJ,persona_20260413T010922Z_52713c65,ESTJ,ENTJ,False
RQ2,ENFJ,ENTP,ENFJ_to_ENTP,history,persona_20260410T140138Z_8e01a328,ENTP,persona_20260413T011443Z_26a1e8c6,ENTP,ENTP,True
RQ2,ENFJ,ENTP,ENFJ_to_ENTP,summary,persona_20260410T140159Z_4cce8c43,ENTP,persona_20260413T011443Z_54751899,ENTP,ENTP,True
RQ2,ENFJ,ISTP,ENFJ_to_ISTP,history,persona_20260410T141907Z_6e29db45,ISTP,persona_20260413T011851Z_948cb785,ISTP,ISTP,True
RQ2,ENFJ,ISTP,ENFJ_to_ISTP,summary,persona_20260410T141929Z_bbb81266,ISTP,persona_20260413T011851Z_8b0041f6,ISTP,ISTP,True
RQ2,ENFJ,ENFP,ENFJ_to_ENFP,history,persona_20260410T143743Z_cb6270a2,ENFP,persona_20260413T012434Z_d2b58d98,ENFP,ENFP,True
RQ2,ENFJ,ENFP,ENFJ_to_ENFP,summary,persona_20260410T143804Z_d3c3cd9a,ENFP,persona_20260413T012434Z_48e82438,ENFP,ENFP,True
RQ2,ENFJ,ISTJ,ENFJ_to_ISTJ,history,persona_20260410T144640Z_dc1f1681,ISTJ,persona_20260413T012927Z_9b4bbe8b,ISTJ,ISTJ,True
RQ2,ENFJ,ISTJ,ENFJ_to_ISTJ,summary,persona_20260410T144701Z_897d5140,ISTJ,persona_20260413T013155Z_8a2f7b60,ISTJ,ISTJ,True
RQ2,ENFJ,INFP,ENFJ_to_INFP,history,persona_20260410T150534Z_0f6ab34e,INFP,persona_20260413T013850Z_4e3ff760,INFP,INFP,True
RQ2,ENFJ,INFP,ENFJ_to_INFP,summary,persona_20260410T150555Z_66484bb0,INFP,persona_20260413T013851Z_e1a4e940,INFP,INFP,True
RQ2,ENFJ,ESFJ,ENFJ_to_ESFJ,history,persona_20260410T151529Z_30293850,ESFJ,persona_20260413T014323Z_c51c3760,ESFJ,ESFJ,True
RQ2,ENFJ,ESFJ,ENFJ_to_ESFJ,summary,persona_20260410T151550Z_1f08eb01,ESFJ,persona_20260413T014324Z_72ae515d,ESFJ,ESFJ,True
RQ2,ENFJ,ESTJ,ENFJ_to_ESTJ,history,persona_20260410T152439Z_f4761806,ESTJ,persona_20260413T014750Z_d3889393,ESTJ,ESTJ,True
RQ2,ENFJ,ESTJ,ENFJ_to_ESTJ,summary,persona_20260410T152500Z_b9848eef,ESTJ,persona_20260413T014750Z_a3cf763e,ESTJ,ESTJ,True
RQ2,ISFJ,INTJ,ISFJ_to_INTJ,history,persona_20260411T041717Z_5ae2cb50,INTJ,persona_20260413T015219Z_4aca412d,INTJ,INTJ,True
RQ2,ISFJ,INTJ,ISFJ_to_INTJ,summary,persona_20260411T041743Z_2c54500d,INTJ,persona_20260413T015220Z_c34eb074,INTJ,INTJ,True
RQ2,ISFJ,INFJ,ISFJ_to_INFJ,history,persona_20260411T082414Z_68676fa7,INFJ,persona_20260413T015646Z_5cf14a5d,INFJ,INFJ,True
RQ2,ISFJ,INFJ,ISFJ_to_INFJ,summary,persona_20260411T082439Z_5b49c979,INFJ,persona_20260413T015646Z_c4920b01,INFJ,INFJ,True
RQ2,ISFJ,ENFJ,ISFJ_to_ENFJ,history,persona_20260411T100721Z_f3896036,ENFJ,persona_20260413T020147Z_aaf6c8c3,ENFJ,ENFJ,True
RQ2,ISFJ,ENFJ,ISFJ_to_ENFJ,summary,persona_20260411T100745Z_8aa27b2a,ENFJ,persona_20260413T020147Z_52bdef70,ENFJ,ENFJ,True
RQ2,ISFJ,ENTJ,ISFJ_to_ENTJ,history,persona_20260410T153657Z_f11025c8,ESTJ,persona_20260413T020651Z_312b2459,ESTJ,ENTJ,False
RQ2,ISFJ,ENTJ,ISFJ_to_ENTJ,summary,persona_20260410T153718Z_eca98a61,ESTJ,persona_20260413T020651Z_2bf0b3b6,ESTJ,ENTJ,False
RQ2,ISFJ,ISTJ,ISFJ_to_ISTJ,history,persona_20260410T163228Z_a6778959,ISTJ,persona_20260413T021221Z_a9f9e120,ISTJ,ISTJ,True
RQ2,ISFJ,ISTJ,ISFJ_to_ISTJ,summary,persona_20260410T163251Z_7e180dad,ISTJ,persona_20260413T021221Z_5f477ef2,ISTJ,ISTJ,True
RQ2,ISFJ,ESFJ,ISFJ_to_ESFJ,history,persona_20260410T165807Z_3e3083ee,ESFJ,persona_20260413T021721Z_4f94e3ff,ESFJ,ESFJ,True
RQ2,ISFJ,ESFJ,ISFJ_to_ESFJ,summary,persona_20260410T165830Z_b73dc32b,ESFJ,persona_20260413T021721Z_83be9abb,ESFJ,ESFJ,True
RQ2,ISFJ,ESTJ,ISFJ_to_ESTJ,history,persona_20260410T170548Z_63d16865,ESTJ,persona_20260413T022212Z_d8da1836,ESTJ,ESTJ,True
RQ2,ISFJ,ESTJ,ISFJ_to_ESTJ,summary,persona_20260410T170610Z_ca8a0f24,ESTJ,persona_20260413T022212Z_0b185fd7,ESTJ,ESTJ,True
RQ2,ENTJ,INTJ,ENTJ_to_INTJ,history,persona_20260411T042642Z_4946cf83,INTJ,persona_20260413T022644Z_f307331b,INTJ,INTJ,True
RQ2,ENTJ,INTJ,ENTJ_to_INTJ,summary,persona_20260411T042706Z_59457a99,INTJ,persona_20260413T022644Z_8766dff4,INTJ,INTJ,True
RQ2,ENTJ,INFJ,ENTJ_to_INFJ,history,persona_20260411T083150Z_0f7ef387,INFJ,persona_20260413T023239Z_f027c479,INFJ,INFJ,True
RQ2,ENTJ,INFJ,ENTJ_to_INFJ,summary,persona_20260411T083214Z_eab4b100,INFJ,persona_20260413T023239Z_39207155,INFJ,INFJ,True
RQ2,ENTJ,ENFJ,ENTJ_to_ENFJ,history,persona_20260411T101717Z_7b4d29d8,ENFJ,persona_20260413T023915Z_52ec324b,ENFJ,ENFJ,True
RQ2,ENTJ,ENFJ,ENTJ_to_ENFJ,summary,persona_20260411T101741Z_e5991dbc,ENFJ,persona_20260413T023916Z_aa7f3f60,ENFJ,ENFJ,True
RQ2,ENTJ,ISFJ,ENTJ_to_ISFJ,history,persona_20260411T120254Z_5de9e1be,ISFJ,persona_20260413T024437Z_5ad2be77,ISFJ,ISFJ,True
RQ2,ENTJ,ISFJ,ENTJ_to_ISFJ,summary,persona_20260411T120322Z_03941e88,ISFJ,persona_20260413T024437Z_53547047,ISFJ,ISFJ,True
RQ2,ENTJ,ENTP,ENTJ_to_ENTP,history,persona_20260410T171808Z_8e378743,ENTP,persona_20260413T025026Z_b8d1849f,ENTP,ENTP,True
RQ2,ENTJ,ENTP,ENTJ_to_ENTP,summary,persona_20260410T171831Z_aa5b9776,ENTP,persona_20260413T025026Z_453712e7,ENTP,ENTP,True
RQ2,ENTJ,ISTP,ENTJ_to_ISTP,history,persona_20260410T173506Z_3ea5bc78,ISTP,persona_20260413T025549Z_39222f35,ISTP,ISTP,True
RQ2,ENTJ,ISTP,ENTJ_to_ISTP,summary,persona_20260410T173529Z_fbb25802,ISTP,persona_20260413T025549Z_b885d3c6,ISTP,ISTP,True
RQ2,ENTJ,ENFP,ENTJ_to_ENFP,history,persona_20260410T175042Z_3728fc0a,ENFP,persona_20260413T030200Z_d5621259,ENFP,ENFP,True
RQ2,ENTJ,ENFP,ENTJ_to_ENFP,summary,persona_20260410T175105Z_0a3a3ece,ENFP,persona_20260413T030200Z_e331f44e,ENFP,ENFP,True
RQ2,ENTJ,ISTJ,ENTJ_to_ISTJ,history,persona_20260410T180247Z_c206627e,ISTJ,persona_20260413T030800Z_54c2e484,ISTJ,ISTJ,True
RQ2,ENTJ,ISTJ,ENTJ_to_ISTJ,summary,persona_20260410T180309Z_2955ab6a,ISTJ,persona_20260413T030801Z_e608bad5,ISTJ,ISTJ,True
RQ2,ENTJ,INFP,ENTJ_to_INFP,history,persona_20260410T182053Z_0d50ae89,INFP,persona_20260413T031331Z_9a98d502,INFP,INFP,True
RQ2,ENTJ,INFP,ENTJ_to_INFP,summary,persona_20260410T182115Z_51ca0eb6,INFP,persona_20260413T031331Z_08260695,INFP,INFP,True
RQ2,ENTJ,ESFJ,ENTJ_to_ESFJ,history,persona_20260410T182847Z_0fdeae80,ESFJ,persona_20260413T031916Z_2b4bbd97,ESFJ,ESFJ,True
RQ2,ENTJ,ESFJ,ENTJ_to_ESFJ,summary,persona_20260410T182910Z_15155541,ESFJ,persona_20260413T031916Z_0bfc599c,ESFJ,ESFJ,True
RQ2,ENTP,INTJ,ENTP_to_INTJ,history,persona_20260411T043453Z_948fe931,INTJ,persona_20260413T032427Z_b0ac3b05,INTJ,INTJ,True
RQ2,ENTP,INTJ,ENTP_to_INTJ,summary,persona_20260411T043522Z_cdea0f71,INTJ,persona_20260413T032427Z_e646e896,INTJ,INTJ,True
RQ2,ENTP,INFJ,ENTP_to_INFJ,history,persona_20260411T083949Z_168ec166,INFJ,persona_20260413T032953Z_066b97c1,INFJ,INFJ,True
RQ2,ENTP,INFJ,ENTP_to_INFJ,summary,persona_20260411T084013Z_fa5d3d6f,INFJ,persona_20260413T032953Z_6df3fe67,INFJ,INFJ,True
RQ2,ENTP,ENFP,ENTP_to_ENFP,history,persona_20260410T191602Z_7c80872d,ENFP,persona_20260413T033524Z_837376da,ENFP,ENFP,True
RQ2,ENTP,ENFP,ENTP_to_ENFP,summary,persona_20260410T191625Z_05dd8682,ENFP,persona_20260413T033524Z_95dc4dec,ENFP,ENFP,True
RQ2,ENTP,ISTJ,ENTP_to_ISTJ,history,persona_20260410T192321Z_60707da7,ISTJ,persona_20260413T034034Z_2736e49a,ISTJ,ISTJ,True
RQ2,ENTP,ISTJ,ENTP_to_ISTJ,summary,persona_20260410T192344Z_b0b66960,ISTJ,persona_20260413T034034Z_d3d7d840,ISTJ,ISTJ,True
RQ2,ENTP,INFP,ENTP_to_INFP,history,persona_20260410T193807Z_4dedca68,INFP,persona_20260413T034621Z_69b93b65,INFP,INFP,True
RQ2,ENTP,INFP,ENTP_to_INFP,summary,persona_20260410T193830Z_097d02ac,INFP,persona_20260413T034621Z_a7b1eddb,INFP,INFP,True
RQ2,ENFP,ISFJ,ENFP_to_ISFJ,history,persona_20260411T130121Z_f9f4b054,ISFJ,persona_20260413T035150Z_f9987984,ISFJ,ISFJ,True
RQ2,ENFP,ISFJ,ENFP_to_ISFJ,summary,persona_20260411T130149Z_36f63280,ISFJ,persona_20260413T035150Z_1447e0f9,ISFJ,ISFJ,True
RQ2,ENFP,ISTP,ENFP_to_ISTP,history,persona_20260411T191246Z_ef9fe25e,ISTP,persona_20260413T035659Z_f0ae6fca,ISTP,ISTP,True
RQ2,ENFP,ISTP,ENFP_to_ISTP,summary,persona_20260411T191310Z_981be171,ISTP,persona_20260413T035659Z_25125a6e,ISTP,ISTP,True
RQ2,ENFP,ISTJ,ENFP_to_ISTJ,history,persona_20260410T223018Z_11fce049,ISTJ,persona_20260413T040248Z_1984d618,ISTJ,ISTJ,True
RQ2,ENFP,ISTJ,ENFP_to_ISTJ,summary,persona_20260410T223040Z_9fa17156,ISTJ,persona_20260413T040248Z_ea468dc3,ISTJ,ISTJ,True
RQ2,ENFP,INFP,ENFP_to_INFP,history,persona_20260410T224543Z_0df2f874,INFP,persona_20260413T040910Z_65e95bc2,INFP,INFP,True
RQ2,ENFP,INFP,ENFP_to_INFP,summary,persona_20260410T224605Z_a0416c79,INFP,persona_20260413T040911Z_da4b6a87,INFP,INFP,True
RQ2,ENFP,ESFJ,ENFP_to_ESFJ,history,persona_20260410T225258Z_5e104872,ESFJ,persona_20260413T041438Z_18911a0d,ESFJ,ESFJ,True
RQ2,ENFP,ESFJ,ENFP_to_ESFJ,summary,persona_20260410T225320Z_83d7f013,ESFJ,persona_20260413T041438Z_57f626e9,ESFJ,ESFJ,True
RQ2,ENFP,ESTJ,ENFP_to_ESTJ,history,persona_20260410T230213Z_35777f5c,ESTJ,persona_20260413T041935Z_acbb3c36,ESTJ,ESTJ,True
RQ2,ENFP,ESTJ,ENFP_to_ESTJ,summary,persona_20260410T230235Z_ffdc78cd,ESTJ,persona_20260413T041935Z_1b794bae,ESTJ,ESTJ,True
