rq,persona_a,persona_b,pair_id,retain_mechanism,simple_control_run_id,simple_control_final_type,reinforced_control_run_id,reinforced_control_final_type,target_persona_b,stable_control
RQ3,ISTP,ISTJ,ISTP_to_ISTJ,history,persona_20260410T210617Z_4404a223,ISTJ,persona_20260412T221833Z_4f976724,ISTJ,ISTJ,True
RQ3,ISTP,ISTJ,ISTP_to_ISTJ,summary,persona_20260410T210640Z_e615634d,ISTJ,persona_20260412T221833Z_077c6c9d,ISTJ,ISTJ,True
RQ3,ISTP,INFP,ISTP_to_INFP,history,persona_20260410T212009Z_b7288a48,INFP,persona_20260412T222349Z_4997055f,INFP,INFP,True
RQ3,ISTP,INFP,ISTP_to_INFP,summary,persona_20260410T212031Z_e11587b8,INFP,persona_20260412T222655Z_92e94015,INFP,INFP,True
RQ3,ISTP,ESFJ,ISTP_to_ESFJ,history,persona_20260410T212748Z_7b2c8154,ESFJ,persona_20260412T223508Z_0042a3fd,ESFJ,ESFJ,True
RQ3,ISTP,ESFJ,ISTP_to_ESFJ,summary,persona_20260410T212810Z_a6491fa3,ESFJ,persona_20260412T223509Z_1110279c,ESFJ,ESFJ,True
RQ3,ISTP,ESTJ,ISTP_to_ESTJ,history,persona_20260410T213439Z_b9dc496f,ESTJ,persona_20260412T224013Z_f4c63a8c,ESTJ,ESTJ,True
RQ3,ISTP,ESTJ,ISTP_to_ESTJ,summary,persona_20260410T213502Z_8b158f03,ESTJ,persona_20260412T224014Z_14296faf,ESTJ,ESTJ,True
RQ3,ENFP,INFJ,ENFP_to_INFJ,history,persona_20260411T091232Z_18a36fe8,INFJ,persona_20260412T224601Z_70bf3831,INFJ,INFJ,True
RQ3,ENFP,INFJ,ENFP_to_INFJ,summary,persona_20260411T091257Z_2f0d46fe,INFJ,persona_20260412T224601Z_9cdeab08,INFJ,INFJ,True
RQ3,ENFP,ENTJ,ENFP_to_ENTJ,history,persona_20260411T145859Z_fdd9d741,ESTJ,persona_20260412T225156Z_cfd55983,ESTJ,ENTJ,False
RQ3,ENFP,ENTJ,ENFP_to_ENTJ,summary,persona_20260411T145922Z_30264e60,ESTJ,persona_20260412T225156Z_eba7eb32,ESTJ,ENTJ,False
RQ3,ENFP,ENTP,ENFP_to_ENTP,history,persona_20260411T163731Z_ac77e97d,ENTP,persona_20260412T225810Z_23c80bff,ENTP,ENTP,True
RQ3,ENFP,ENTP,ENFP_to_ENTP,summary,persona_20260411T163755Z_e825eda5,ENTP,persona_20260412T225810Z_bb818498,ENTP,ENTP,True
RQ3,ESTJ,ISTJ,ESTJ_to_ISTJ,history,persona_20260411T220242Z_c5645254,ISTJ,persona_20260412T230621Z_dc176c67,ISTJ,ISTJ,True
RQ3,ESTJ,ISTJ,ESTJ_to_ISTJ,summary,persona_20260411T220306Z_eabdaa03,ISTJ,persona_20260412T230622Z_ffe8dc29,ISTJ,ISTJ,True
RQ3,ENTP,ESTJ,ENTP_to_ESTJ,history,persona_20260410T195158Z_11d5dd6d,ESTJ,persona_20260412T231148Z_0d6fc95b,ESTJ,ESTJ,True
RQ3,ENTP,ESTJ,ENTP_to_ESTJ,summary,persona_20260410T195220Z_b5940cf0,ESTJ,persona_20260412T231148Z_701301af,ESTJ,ESTJ,True
RQ3,ISTP,ENTJ,ISTP_to_ENTJ,history,persona_20260411T143740Z_8f62975d,ESTJ,persona_20260412T231717Z_6cdf252e,ESTJ,ENTJ,False
RQ3,ISTP,ENTJ,ISTP_to_ENTJ,summary,persona_20260411T143805Z_ce6aa488,ESTJ,persona_20260412T231717Z_8c53132e,ESTJ,ENTJ,False
RQ3,ENFP,INTJ,ENFP_to_INTJ,history,persona_20260411T050710Z_6cf67fef,INTJ,persona_20260412T232310Z_4b765edb,INTJ,INTJ,True
RQ3,ENFP,INTJ,ENFP_to_INTJ,summary,persona_20260411T050743Z_8abbce4a,INTJ,persona_20260412T232310Z_41f139d6,INTJ,INTJ,True
RQ3,ENFP,ENFJ,ENFP_to_ENFJ,history,persona_20260411T110523Z_01553309,ENFJ,persona_20260412T232945Z_72435ecc,ENFJ,ENFJ,True
RQ3,ENFP,ENFJ,ENFP_to_ENFJ,summary,persona_20260411T110552Z_21af9ba6,ENFJ,persona_20260412T232945Z_37391ba5,ENFJ,ENFJ,True
RQ3,ISTJ,INFJ,ISTJ_to_INFJ,history,persona_20260411T092050Z_bfde4ff6,INFJ,persona_20260413T042535Z_47f34261,INFJ,INFJ,True
RQ3,ISTJ,INFJ,ISTJ_to_INFJ,summary,persona_20260411T092115Z_1ba30c1b,INFJ,persona_20260413T042536Z_8f3785b5,INFJ,INFJ,True
RQ3,ISTJ,ENFJ,ISTJ_to_ENFJ,history,persona_20260411T111451Z_e832e856,ENFJ,persona_20260413T043049Z_9f4286f4,ENFJ,ENFJ,True
RQ3,ISTJ,ENFJ,ISTJ_to_ENFJ,summary,persona_20260411T111520Z_c42e015b,ENFJ,persona_20260413T043050Z_1ecfab3a,ENFJ,ENFJ,True
RQ3,ISTJ,ISFJ,ISTJ_to_ISFJ,history,persona_20260411T131511Z_bfb0d3ca,ISFJ,persona_20260413T043601Z_05aa715c,ISFJ,ISFJ,True
RQ3,ISTJ,ISFJ,ISTJ_to_ISFJ,summary,persona_20260411T131538Z_3964c9df,ISFJ,persona_20260413T043601Z_0290a632,ISFJ,ISFJ,True
RQ3,ISTJ,ESFJ,ISTJ_to_ESFJ,history,persona_20260410T232705Z_084b529f,ESFJ,persona_20260413T044105Z_d05c28e5,ESFJ,ESFJ,True
RQ3,ISTJ,ESFJ,ISTJ_to_ESFJ,summary,persona_20260410T232727Z_46975cd2,ESFJ,persona_20260413T044105Z_331728bd,ESFJ,ESFJ,True
RQ3,ISTJ,ESTJ,ISTJ_to_ESTJ,history,persona_20260410T233528Z_0e646c8c,ESTJ,persona_20260413T044630Z_cf244606,ESTJ,ESTJ,True
RQ3,ISTJ,ESTJ,ISTJ_to_ESTJ,summary,persona_20260410T233550Z_82bd8178,ESTJ,persona_20260413T044630Z_730b9c22,ESTJ,ESTJ,True
RQ3,INFP,INTJ,INFP_to_INTJ,history,persona_20260411T053149Z_b5b725d5,INTJ,persona_20260413T045214Z_d0fca52d,INTJ,INTJ,True
RQ3,INFP,INTJ,INFP_to_INTJ,summary,persona_20260411T053223Z_d220c9d9,INTJ,persona_20260413T045215Z_855b06d5,INTJ,INTJ,True
RQ3,INFP,INFJ,INFP_to_INFJ,history,persona_20260411T093746Z_accd122f,INFJ,persona_20260413T045819Z_ebe108bc,INFJ,INFJ,True
RQ3,INFP,INFJ,INFP_to_INFJ,summary,persona_20260411T093811Z_fec3626e,INFJ,persona_20260413T045819Z_1bb20d3d,INFJ,INFJ,True
RQ3,INFP,ENFJ,INFP_to_ENFJ,history,persona_20260411T113359Z_71035536,ENFJ,persona_20260413T050436Z_87fe1b74,ENFJ,ENFJ,True
RQ3,INFP,ENFJ,INFP_to_ENFJ,summary,persona_20260411T113426Z_9318dd1e,ENFJ,persona_20260413T050436Z_4a4c3e6a,ENFJ,ENFJ,True
RQ3,INFP,ISFJ,INFP_to_ISFJ,history,persona_20260411T133932Z_0656ec71,ISFJ,persona_20260413T051115Z_89e3b179,ISFJ,ISFJ,True
RQ3,INFP,ISFJ,INFP_to_ISFJ,summary,persona_20260411T133959Z_f2593b34,ISFJ,persona_20260413T051115Z_cdf60b0d,ISFJ,ISFJ,True
RQ3,INFP,ENTJ,INFP_to_ENTJ,history,persona_20260411T153324Z_ab520b11,ESTJ,persona_20260413T051655Z_9ab72076,ESTJ,ENTJ,False
RQ3,INFP,ENTJ,INFP_to_ENTJ,summary,persona_20260411T153351Z_02f8b1d3,ESTJ,persona_20260413T051655Z_fa58f8ca,ESTJ,ENTJ,False
RQ3,INFP,ENTP,INFP_to_ENTP,history,persona_20260411T171028Z_86da4fb4,ENTP,persona_20260413T052239Z_b7f41db0,ENTP,ENTP,True
RQ3,INFP,ENTP,INFP_to_ENTP,summary,persona_20260411T171053Z_74cec0cc,ENTP,persona_20260413T052239Z_20a615bd,ENTP,ENTP,True
RQ3,INFP,ISTP,INFP_to_ISTP,history,persona_20260411T193854Z_83ff5877,ISTP,persona_20260413T052804Z_15a987aa,ISTJ,ISTP,False
RQ3,INFP,ISTP,INFP_to_ISTP,summary,persona_20260411T193919Z_2992b604,ISTP,persona_20260413T052804Z_4a25a51f,ISTP,ISTP,True
RQ3,INFP,ENFP,INFP_to_ENFP,history,persona_20260411T211358Z_68ed3af8,ENFP,persona_20260413T053410Z_838b39c9,ENFP,ENFP,True
RQ3,INFP,ENFP,INFP_to_ENFP,summary,persona_20260411T211422Z_e9a93e6d,ENFP,persona_20260413T053410Z_a7675092,ENFP,ENFP,True
RQ3,INFP,ISTJ,INFP_to_ISTJ,history,persona_20260411T214550Z_8ac7ac79,ISTJ,persona_20260413T053932Z_17014941,ISTJ,ISTJ,True
RQ3,INFP,ISTJ,INFP_to_ISTJ,summary,persona_20260411T214615Z_ad36c07e,ISTJ,persona_20260413T053932Z_10cc14f4,ISTJ,ISTJ,True
RQ3,INFP,ESFJ,INFP_to_ESFJ,history,persona_20260411T001127Z_475045ab,ESFJ,persona_20260413T054525Z_0f4fe4a3,ESFJ,ESFJ,True
RQ3,INFP,ESFJ,INFP_to_ESFJ,summary,persona_20260411T001149Z_6ad47ba0,ESFJ,persona_20260413T054526Z_971cec8d,ESFJ,ESFJ,True
RQ3,INFP,ESTJ,INFP_to_ESTJ,history,persona_20260411T002002Z_15a4ed22,ESTJ,persona_20260413T055117Z_4694e18c,ESTJ,ESTJ,True
RQ3,INFP,ESTJ,INFP_to_ESTJ,summary,persona_20260411T002024Z_31a78d89,ESTJ,persona_20260413T055117Z_9a1dcf52,ESTJ,ESTJ,True
RQ3,ESFJ,INTJ,ESFJ_to_INTJ,history,persona_20260411T054018Z_82efefc2,INTJ,persona_20260413T055716Z_da7f02cc,INTJ,INTJ,True
RQ3,ESFJ,INTJ,ESFJ_to_INTJ,summary,persona_20260411T054052Z_2f049d82,INTJ,persona_20260413T055716Z_4f515d87,INTJ,INTJ,True
RQ3,ESFJ,INFJ,ESFJ_to_INFJ,history,persona_20260411T094609Z_caa6b158,INFJ,persona_20260413T060344Z_357350e5,INFJ,INFJ,True
RQ3,ESFJ,INFJ,ESFJ_to_INFJ,summary,persona_20260411T094633Z_dd5478b1,INFJ,persona_20260413T060345Z_e2ddd11c,INFJ,INFJ,True
RQ3,ESFJ,ENFJ,ESFJ_to_ENFJ,history,persona_20260411T114303Z_60060584,ENFJ,persona_20260413T060953Z_7a32a3e9,ENFJ,ENFJ,True
RQ3,ESFJ,ENFJ,ESFJ_to_ENFJ,summary,persona_20260411T114330Z_11e9bb21,ENFJ,persona_20260413T060953Z_0970e2d3,ENFJ,ENFJ,True
RQ3,ESFJ,ISFJ,ESFJ_to_ISFJ,history,persona_20260411T135033Z_99bd9a20,ISFJ,persona_20260413T061621Z_9b43687d,ISFJ,ISFJ,True
RQ3,ESFJ,ISFJ,ESFJ_to_ISFJ,summary,persona_20260411T135059Z_0365c36a,ISFJ,persona_20260413T061621Z_038c9593,ISFJ,ISFJ,True
RQ3,ESFJ,ENTJ,ESFJ_to_ENTJ,history,persona_20260411T154408Z_e11a6af1,ESTJ,persona_20260413T062303Z_f1cfd197,ESTJ,ENTJ,False
RQ3,ESFJ,ENTJ,ESFJ_to_ENTJ,summary,persona_20260411T154434Z_a4fd0b79,ESTJ,persona_20260413T062303Z_e2b07fe3,ESTJ,ENTJ,False
RQ3,ESFJ,ENTP,ESFJ_to_ENTP,history,persona_20260411T171930Z_6851a218,ENTP,persona_20260413T062931Z_b038fe1d,ENTP,ENTP,True
RQ3,ESFJ,ENTP,ESFJ_to_ENTP,summary,persona_20260411T171954Z_4193c357,ENTP,persona_20260413T062931Z_a4872525,ENTP,ENTP,True
RQ3,ESFJ,ISTP,ESFJ_to_ISTP,history,persona_20260411T194803Z_3166513f,ISTP,persona_20260413T063551Z_a0fd46bf,ISTJ,ISTP,False
RQ3,ESFJ,ISTP,ESFJ_to_ISTP,summary,persona_20260411T194827Z_98a68bed,ISTP,persona_20260413T063551Z_c6f99c74,ISTP,ISTP,True
RQ3,ESFJ,ENFP,ESFJ_to_ENFP,history,persona_20260411T212225Z_6f46bac8,ENFP,persona_20260413T064208Z_c4ce6cde,ENFP,ENFP,True
RQ3,ESFJ,ENFP,ESFJ_to_ENFP,summary,persona_20260411T212249Z_c69ffb53,ENFP,persona_20260413T064209Z_bc592d29,ENFP,ENFP,True
RQ3,ESFJ,ISTJ,ESFJ_to_ISTJ,history,persona_20260411T215355Z_fc382383,ISTJ,persona_20260413T064942Z_17df877d,ISTJ,ISTJ,True
RQ3,ESFJ,ISTJ,ESFJ_to_ISTJ,summary,persona_20260411T215420Z_af5c2687,ISTJ,persona_20260413T064942Z_e30eadae,ISTJ,ISTJ,True
RQ3,ESFJ,INFP,ESFJ_to_INFP,history,persona_20260411T223508Z_2726c3ec,INFP,persona_20260413T065602Z_bb017cd4,INFP,INFP,True
RQ3,ESFJ,INFP,ESFJ_to_INFP,summary,persona_20260411T223533Z_c7bc0fc2,INFP,persona_20260413T065603Z_36ef6fe3,INFP,INFP,True
RQ3,ESFJ,ESTJ,ESFJ_to_ESTJ,history,persona_20260411T002841Z_0a1be02e,ESTJ,persona_20260413T070203Z_005c9116,ESTJ,ESTJ,True
RQ3,ESFJ,ESTJ,ESFJ_to_ESTJ,summary,persona_20260411T002903Z_d64f2be6,ESTJ,persona_20260413T070203Z_c4e2f4f2,ESTJ,ESTJ,True
RQ3,ESTJ,INTJ,ESTJ_to_INTJ,history,persona_20260411T055002Z_60147e6a,INTJ,persona_20260413T071211Z_f3746945,INTJ,INTJ,True
RQ3,ESTJ,INTJ,ESTJ_to_INTJ,summary,persona_20260411T055036Z_c1d7cfd1,INTJ,persona_20260413T071211Z_ecf2e095,INTJ,INTJ,True
RQ3,ESTJ,INFJ,ESTJ_to_INFJ,history,persona_20260411T095654Z_b8df32bf,INFJ,persona_20260413T071856Z_63b8c124,INFJ,INFJ,True
RQ3,ESTJ,INFJ,ESTJ_to_INFJ,summary,persona_20260411T095719Z_7871886a,INFJ,persona_20260413T071856Z_3c7eb34a,INFJ,INFJ,True
RQ3,ESTJ,ENFJ,ESTJ_to_ENFJ,history,persona_20260411T115218Z_c340244d,ENFJ,persona_20260413T072527Z_07da61b4,ENFJ,ENFJ,True
RQ3,ESTJ,ENFJ,ESTJ_to_ENFJ,summary,persona_20260411T115245Z_ff99120e,ENFJ,persona_20260413T072527Z_87434232,ENFJ,ENFJ,True
RQ3,ESTJ,ISFJ,ESTJ_to_ISFJ,history,persona_20260411T140221Z_3f604f2f,ISFJ,persona_20260413T073237Z_987fd60f,ISFJ,ISFJ,True
RQ3,ESTJ,ISFJ,ESTJ_to_ISFJ,summary,persona_20260411T140247Z_8fdde6fe,ISFJ,persona_20260413T073237Z_6afccceb,ISFJ,ISFJ,True
RQ3,ESTJ,ENTP,ESTJ_to_ENTP,history,persona_20260411T173024Z_a72349d9,ENTP,persona_20260413T074130Z_fa35f4b9,ENTP,ENTP,True
RQ3,ESTJ,ENTP,ESTJ_to_ENTP,summary,persona_20260411T173048Z_59d86c10,ENTP,persona_20260413T074130Z_2a3f2242,ENTP,ENTP,True
RQ3,ESTJ,ISTP,ESTJ_to_ISTP,history,persona_20260411T195650Z_d978500c,ISTP,persona_20260413T074720Z_a1c39f5b,ISTJ,ISTP,False
RQ3,ESTJ,ISTP,ESTJ_to_ISTP,summary,persona_20260411T195714Z_c4b380f7,ISTP,persona_20260413T074720Z_f3fc7831,ISTP,ISTP,True
RQ3,ESTJ,ENFP,ESTJ_to_ENFP,history,persona_20260411T213116Z_e56c6b16,ENFP,persona_20260413T075249Z_4c4f282e,ENFP,ENFP,True
RQ3,ESTJ,ENFP,ESTJ_to_ENFP,summary,persona_20260411T213140Z_948d589a,ENFP,persona_20260413T075249Z_e30da89a,ENFP,ENFP,True
RQ3,ESTJ,INFP,ESTJ_to_INFP,history,persona_20260411T224243Z_3dbe4089,INFP,persona_20260413T075927Z_493cba81,INFP,INFP,True
RQ3,ESTJ,INFP,ESTJ_to_INFP,summary,persona_20260411T224307Z_112db241,INFP,persona_20260413T075927Z_808e0c6b,INFP,INFP,True
RQ3,ESTJ,ESFJ,ESTJ_to_ESFJ,history,persona_20260411T224954Z_be7d7988,ESFJ,persona_20260413T080700Z_b4314f9b,ESFJ,ESFJ,True
RQ3,ESTJ,ESFJ,ESTJ_to_ESFJ,summary,persona_20260411T225018Z_62957ba7,ESFJ,persona_20260413T080700Z_4f20cdf4,ESFJ,ESFJ,True
