persona_a,persona_b,pair_id,switch_condition,failed_rows,successful_rows,total_rows,overall_classification
ENTJ,ISTP,ENTJ_to_ISTP,A_history_to_B,1,0,1,failed
ENTJ,ISTP,ENTJ_to_ISTP,A_summary_to_B,0,1,1,successful
ENTP,ENFJ,ENTP_to_ENFJ,A_history_to_B,1,0,1,failed
ENTP,ENFJ,ENTP_to_ENFJ,A_summary_to_B,1,0,1,failed
ENTP,ENFP,ENTP_to_ENFP,A_history_to_B,1,0,1,failed
ENTP,ENFP,ENTP_to_ENFP,A_summary_to_B,0,1,1,successful
ENTP,ENTJ,ENTP_to_ENTJ,A_history_to_B,1,0,1,failed
ENTP,ENTJ,ENTP_to_ENTJ,A_summary_to_B,1,0,1,failed
ENTP,ESFJ,ENTP_to_ESFJ,A_history_to_B,1,0,1,failed
ENTP,ESFJ,ENTP_to_ESFJ,A_summary_to_B,1,0,1,failed
ENTP,ESFP,ENTP_to_ESFP,A_history_to_B,1,0,1,failed
ENTP,ESFP,ENTP_to_ESFP,A_summary_to_B,1,0,1,failed
ENTP,ESTJ,ENTP_to_ESTJ,A_history_to_B,1,0,1,failed
ENTP,ESTJ,ENTP_to_ESTJ,A_summary_to_B,0,1,1,successful
ENTP,ESTP,ENTP_to_ESTP,A_history_to_B,1,0,1,failed
ENTP,ESTP,ENTP_to_ESTP,A_summary_to_B,1,0,1,failed
ENTP,INFJ,ENTP_to_INFJ,A_history_to_B,1,0,1,failed
ENTP,INFJ,ENTP_to_INFJ,A_summary_to_B,0,1,1,successful
ENTP,INFP,ENTP_to_INFP,A_history_to_B,1,0,1,failed
ENTP,INFP,ENTP_to_INFP,A_summary_to_B,0,1,1,successful
ENTP,INTJ,ENTP_to_INTJ,A_history_to_B,1,0,1,failed
ENTP,INTJ,ENTP_to_INTJ,A_summary_to_B,0,1,1,successful
ENTP,INTP,ENTP_to_INTP,A_history_to_B,1,0,1,failed
ENTP,INTP,ENTP_to_INTP,A_summary_to_B,1,0,1,failed
ENTP,ISFJ,ENTP_to_ISFJ,A_history_to_B,1,0,1,failed
ENTP,ISFJ,ENTP_to_ISFJ,A_summary_to_B,1,0,1,failed
ENTP,ISFP,ENTP_to_ISFP,A_history_to_B,1,0,1,failed
ENTP,ISFP,ENTP_to_ISFP,A_summary_to_B,1,0,1,failed
ENTP,ISTJ,ENTP_to_ISTJ,A_history_to_B,1,0,1,failed
ENTP,ISTJ,ENTP_to_ISTJ,A_summary_to_B,0,1,1,successful
ENTP,ISTP,ENTP_to_ISTP,A_history_to_B,1,0,1,failed
ENTP,ISTP,ENTP_to_ISTP,A_summary_to_B,1,0,1,failed
ESFJ,ENFJ,ESFJ_to_ENFJ,A_history_to_B,1,0,1,failed
ESFJ,ENFJ,ESFJ_to_ENFJ,A_summary_to_B,0,1,1,successful
ESFJ,ENFP,ESFJ_to_ENFP,A_history_to_B,1,0,1,failed
ESFJ,ENFP,ESFJ_to_ENFP,A_summary_to_B,0,1,1,successful
ESFJ,ENTJ,ESFJ_to_ENTJ,A_history_to_B,1,0,1,failed
ESFJ,ENTJ,ESFJ_to_ENTJ,A_summary_to_B,0,1,1,successful
ESFJ,ENTP,ESFJ_to_ENTP,A_history_to_B,1,0,1,failed
ESFJ,ENTP,ESFJ_to_ENTP,A_summary_to_B,0,1,1,successful
ESFJ,ESFP,ESFJ_to_ESFP,A_history_to_B,1,0,1,failed
ESFJ,ESFP,ESFJ_to_ESFP,A_summary_to_B,1,0,1,failed
ESFJ,ESTJ,ESFJ_to_ESTJ,A_history_to_B,1,0,1,failed
ESFJ,ESTJ,ESFJ_to_ESTJ,A_summary_to_B,0,1,1,successful
ESFJ,ESTP,ESFJ_to_ESTP,A_history_to_B,1,0,1,failed
ESFJ,ESTP,ESFJ_to_ESTP,A_summary_to_B,0,1,1,successful
ESFJ,INFJ,ESFJ_to_INFJ,A_history_to_B,1,0,1,failed
ESFJ,INFJ,ESFJ_to_INFJ,A_summary_to_B,0,1,1,successful
ESFJ,INFP,ESFJ_to_INFP,A_history_to_B,1,0,1,failed
ESFJ,INFP,ESFJ_to_INFP,A_summary_to_B,0,1,1,successful
ESFJ,INTJ,ESFJ_to_INTJ,A_history_to_B,1,0,1,failed
ESFJ,INTJ,ESFJ_to_INTJ,A_summary_to_B,0,1,1,successful
ESFJ,INTP,ESFJ_to_INTP,A_history_to_B,1,0,1,failed
ESFJ,INTP,ESFJ_to_INTP,A_summary_to_B,1,0,1,failed
ESFJ,ISFJ,ESFJ_to_ISFJ,A_history_to_B,1,0,1,failed
ESFJ,ISFJ,ESFJ_to_ISFJ,A_summary_to_B,0,1,1,successful
ESFJ,ISFP,ESFJ_to_ISFP,A_history_to_B,1,0,1,failed
ESFJ,ISFP,ESFJ_to_ISFP,A_summary_to_B,1,0,1,failed
ESFJ,ISTJ,ESFJ_to_ISTJ,A_history_to_B,1,0,1,failed
ESFJ,ISTJ,ESFJ_to_ISTJ,A_summary_to_B,0,1,1,successful
ESFJ,ISTP,ESFJ_to_ISTP,A_history_to_B,1,0,1,failed
ESFJ,ISTP,ESFJ_to_ISTP,A_summary_to_B,0,1,1,successful
ESFP,ENFJ,ESFP_to_ENFJ,A_history_to_B,1,0,1,failed
ESFP,ENFJ,ESFP_to_ENFJ,A_summary_to_B,0,1,1,successful
ESFP,ENFP,ESFP_to_ENFP,A_history_to_B,0,1,1,successful
ESFP,ENFP,ESFP_to_ENFP,A_summary_to_B,0,1,1,successful
ESFP,ENTJ,ESFP_to_ENTJ,A_history_to_B,1,0,1,failed
ESFP,ENTJ,ESFP_to_ENTJ,A_summary_to_B,0,1,1,successful
ESFP,ENTP,ESFP_to_ENTP,A_history_to_B,0,1,1,successful
ESFP,ENTP,ESFP_to_ENTP,A_summary_to_B,0,1,1,successful
ESFP,ESFJ,ESFP_to_ESFJ,A_history_to_B,1,0,1,failed
ESFP,ESFJ,ESFP_to_ESFJ,A_summary_to_B,0,1,1,successful
ESFP,ESTJ,ESFP_to_ESTJ,A_history_to_B,1,0,1,failed
ESFP,ESTJ,ESFP_to_ESTJ,A_summary_to_B,0,1,1,successful
ESFP,ESTP,ESFP_to_ESTP,A_history_to_B,1,0,1,failed
ESFP,ESTP,ESFP_to_ESTP,A_summary_to_B,0,1,1,successful
ESFP,INFJ,ESFP_to_INFJ,A_history_to_B,1,0,1,failed
ESFP,INFJ,ESFP_to_INFJ,A_summary_to_B,0,1,1,successful
ESFP,INFP,ESFP_to_INFP,A_history_to_B,1,0,1,failed
ESFP,INFP,ESFP_to_INFP,A_summary_to_B,0,1,1,successful
ESFP,INTJ,ESFP_to_INTJ,A_history_to_B,1,0,1,failed
ESFP,INTJ,ESFP_to_INTJ,A_summary_to_B,0,1,1,successful
ESFP,INTP,ESFP_to_INTP,A_history_to_B,1,0,1,failed
ESFP,INTP,ESFP_to_INTP,A_summary_to_B,1,0,1,failed
ESFP,ISFJ,ESFP_to_ISFJ,A_history_to_B,1,0,1,failed
ESFP,ISFJ,ESFP_to_ISFJ,A_summary_to_B,0,1,1,successful
ESFP,ISFP,ESFP_to_ISFP,A_history_to_B,1,0,1,failed
ESFP,ISFP,ESFP_to_ISFP,A_summary_to_B,1,0,1,failed
ESFP,ISTJ,ESFP_to_ISTJ,A_history_to_B,1,0,1,failed
ESFP,ISTJ,ESFP_to_ISTJ,A_summary_to_B,0,1,1,successful
ESFP,ISTP,ESFP_to_ISTP,A_history_to_B,1,0,1,failed
ESFP,ISTP,ESFP_to_ISTP,A_summary_to_B,0,1,1,successful
ESTJ,ENFJ,ESTJ_to_ENFJ,A_history_to_B,1,0,1,failed
ESTJ,ENFJ,ESTJ_to_ENFJ,A_summary_to_B,0,1,1,successful
ESTJ,ENFP,ESTJ_to_ENFP,A_history_to_B,1,0,1,failed
ESTJ,ENFP,ESTJ_to_ENFP,A_summary_to_B,0,1,1,successful
ESTJ,ENTJ,ESTJ_to_ENTJ,A_history_to_B,1,0,1,failed
ESTJ,ENTJ,ESTJ_to_ENTJ,A_summary_to_B,1,0,1,failed
ESTJ,ENTP,ESTJ_to_ENTP,A_history_to_B,1,0,1,failed
ESTJ,ENTP,ESTJ_to_ENTP,A_summary_to_B,0,1,1,successful
ESTJ,ESFJ,ESTJ_to_ESFJ,A_history_to_B,1,0,1,failed
ESTJ,ESFJ,ESTJ_to_ESFJ,A_summary_to_B,0,1,1,successful
ESTJ,ESFP,ESTJ_to_ESFP,A_history_to_B,1,0,1,failed
ESTJ,ESFP,ESTJ_to_ESFP,A_summary_to_B,1,0,1,failed
ESTJ,ESTP,ESTJ_to_ESTP,A_history_to_B,1,0,1,failed
ESTJ,ESTP,ESTJ_to_ESTP,A_summary_to_B,1,0,1,failed
ESTJ,INFJ,ESTJ_to_INFJ,A_history_to_B,1,0,1,failed
ESTJ,INFJ,ESTJ_to_INFJ,A_summary_to_B,0,1,1,successful
ESTJ,INFP,ESTJ_to_INFP,A_history_to_B,1,0,1,failed
ESTJ,INFP,ESTJ_to_INFP,A_summary_to_B,0,1,1,successful
ESTJ,INTJ,ESTJ_to_INTJ,A_history_to_B,1,0,1,failed
ESTJ,INTJ,ESTJ_to_INTJ,A_summary_to_B,0,1,1,successful
ESTJ,INTP,ESTJ_to_INTP,A_history_to_B,1,0,1,failed
ESTJ,INTP,ESTJ_to_INTP,A_summary_to_B,1,0,1,failed
ESTJ,ISFJ,ESTJ_to_ISFJ,A_history_to_B,1,0,1,failed
ESTJ,ISFJ,ESTJ_to_ISFJ,A_summary_to_B,0,1,1,successful
ESTJ,ISFP,ESTJ_to_ISFP,A_history_to_B,1,0,1,failed
ESTJ,ISFP,ESTJ_to_ISFP,A_summary_to_B,0,1,1,successful
ESTJ,ISTJ,ESTJ_to_ISTJ,A_history_to_B,0,1,1,successful
ESTJ,ISTJ,ESTJ_to_ISTJ,A_summary_to_B,0,1,1,successful
ESTJ,ISTP,ESTJ_to_ISTP,A_history_to_B,1,0,1,failed
ESTJ,ISTP,ESTJ_to_ISTP,A_summary_to_B,0,1,1,successful
ESTP,ENFJ,ESTP_to_ENFJ,A_history_to_B,1,0,1,failed
ESTP,ENFJ,ESTP_to_ENFJ,A_summary_to_B,0,1,1,successful
ESTP,ENFP,ESTP_to_ENFP,A_history_to_B,1,0,1,failed
ESTP,ENFP,ESTP_to_ENFP,A_summary_to_B,0,1,1,successful
ESTP,ENTJ,ESTP_to_ENTJ,A_history_to_B,1,0,1,failed
ESTP,ENTJ,ESTP_to_ENTJ,A_summary_to_B,0,1,1,successful
ESTP,ENTP,ESTP_to_ENTP,A_history_to_B,0,1,1,successful
ESTP,ENTP,ESTP_to_ENTP,A_summary_to_B,0,1,1,successful
ESTP,ESFJ,ESTP_to_ESFJ,A_history_to_B,1,0,1,failed
ESTP,ESFJ,ESTP_to_ESFJ,A_summary_to_B,0,1,1,successful
ESTP,ESFP,ESTP_to_ESFP,A_history_to_B,1,0,1,failed
ESTP,ESFP,ESTP_to_ESFP,A_summary_to_B,1,0,1,failed
ESTP,ESTJ,ESTP_to_ESTJ,A_history_to_B,1,0,1,failed
ESTP,ESTJ,ESTP_to_ESTJ,A_summary_to_B,0,1,1,successful
ESTP,INFJ,ESTP_to_INFJ,A_history_to_B,1,0,1,failed
ESTP,INFJ,ESTP_to_INFJ,A_summary_to_B,0,1,1,successful
ESTP,INFP,ESTP_to_INFP,A_history_to_B,1,0,1,failed
ESTP,INFP,ESTP_to_INFP,A_summary_to_B,0,1,1,successful
ESTP,INTJ,ESTP_to_INTJ,A_history_to_B,1,0,1,failed
ESTP,INTJ,ESTP_to_INTJ,A_summary_to_B,0,1,1,successful
ESTP,INTP,ESTP_to_INTP,A_history_to_B,1,0,1,failed
ESTP,INTP,ESTP_to_INTP,A_summary_to_B,0,1,1,successful
ESTP,ISFJ,ESTP_to_ISFJ,A_history_to_B,1,0,1,failed
ESTP,ISFJ,ESTP_to_ISFJ,A_summary_to_B,0,1,1,successful
ESTP,ISFP,ESTP_to_ISFP,A_history_to_B,1,0,1,failed
ESTP,ISFP,ESTP_to_ISFP,A_summary_to_B,1,0,1,failed
ESTP,ISTJ,ESTP_to_ISTJ,A_history_to_B,1,0,1,failed
ESTP,ISTJ,ESTP_to_ISTJ,A_summary_to_B,0,1,1,successful
ESTP,ISTP,ESTP_to_ISTP,A_history_to_B,1,0,1,failed
ESTP,ISTP,ESTP_to_ISTP,A_summary_to_B,0,1,1,successful
INFJ,ENFJ,INFJ_to_ENFJ,A_history_to_B,0,1,1,successful
INFJ,ENFJ,INFJ_to_ENFJ,A_summary_to_B,0,1,1,successful
INFJ,ENFP,INFJ_to_ENFP,A_history_to_B,0,1,1,successful
INFJ,ENFP,INFJ_to_ENFP,A_summary_to_B,0,1,1,successful
INFJ,ENTJ,INFJ_to_ENTJ,A_history_to_B,0,1,1,successful
INFJ,ENTJ,INFJ_to_ENTJ,A_summary_to_B,0,1,1,successful
INFJ,ENTP,INFJ_to_ENTP,A_history_to_B,0,1,1,successful
INFJ,ENTP,INFJ_to_ENTP,A_summary_to_B,0,1,1,successful
INFJ,ESFJ,INFJ_to_ESFJ,A_history_to_B,0,1,1,successful
INFJ,ESFJ,INFJ_to_ESFJ,A_summary_to_B,0,1,1,successful
INFJ,ESFP,INFJ_to_ESFP,A_history_to_B,1,0,1,failed
INFJ,ESFP,INFJ_to_ESFP,A_summary_to_B,1,0,1,failed
INFJ,ESTJ,INFJ_to_ESTJ,A_history_to_B,0,1,1,successful
INFJ,ESTJ,INFJ_to_ESTJ,A_summary_to_B,0,1,1,successful
INFJ,ESTP,INFJ_to_ESTP,A_history_to_B,1,0,1,failed
INFJ,ESTP,INFJ_to_ESTP,A_summary_to_B,0,1,1,successful
INFJ,INFP,INFJ_to_INFP,A_history_to_B,1,0,1,failed
INFJ,INFP,INFJ_to_INFP,A_summary_to_B,0,1,1,successful
INFJ,INTJ,INFJ_to_INTJ,A_history_to_B,0,1,1,successful
INFJ,INTJ,INFJ_to_INTJ,A_summary_to_B,0,1,1,successful
INFJ,INTP,INFJ_to_INTP,A_history_to_B,1,0,1,failed
INFJ,INTP,INFJ_to_INTP,A_summary_to_B,1,0,1,failed
INFJ,ISFJ,INFJ_to_ISFJ,A_history_to_B,0,1,1,successful
INFJ,ISFJ,INFJ_to_ISFJ,A_summary_to_B,0,1,1,successful
INFJ,ISFP,INFJ_to_ISFP,A_history_to_B,1,0,1,failed
INFJ,ISFP,INFJ_to_ISFP,A_summary_to_B,1,0,1,failed
INFJ,ISTJ,INFJ_to_ISTJ,A_history_to_B,0,1,1,successful
INFJ,ISTJ,INFJ_to_ISTJ,A_summary_to_B,0,1,1,successful
INFJ,ISTP,INFJ_to_ISTP,A_history_to_B,0,1,1,successful
INFJ,ISTP,INFJ_to_ISTP,A_summary_to_B,0,1,1,successful
INFP,ENFJ,INFP_to_ENFJ,A_history_to_B,1,0,1,failed
INFP,ENFJ,INFP_to_ENFJ,A_summary_to_B,0,1,1,successful
INFP,ENFP,INFP_to_ENFP,A_history_to_B,1,0,1,failed
INFP,ENFP,INFP_to_ENFP,A_summary_to_B,0,1,1,successful
INFP,ENTJ,INFP_to_ENTJ,A_history_to_B,1,0,1,failed
INFP,ENTJ,INFP_to_ENTJ,A_summary_to_B,0,1,1,successful
INFP,ENTP,INFP_to_ENTP,A_history_to_B,1,0,1,failed
INFP,ENTP,INFP_to_ENTP,A_summary_to_B,0,1,1,successful
INFP,ESFJ,INFP_to_ESFJ,A_history_to_B,1,0,1,failed
INFP,ESFJ,INFP_to_ESFJ,A_summary_to_B,0,1,1,successful
INFP,ESFP,INFP_to_ESFP,A_history_to_B,1,0,1,failed
INFP,ESFP,INFP_to_ESFP,A_summary_to_B,1,0,1,failed
INFP,ESTJ,INFP_to_ESTJ,A_history_to_B,1,0,1,failed
INFP,ESTJ,INFP_to_ESTJ,A_summary_to_B,0,1,1,successful
INFP,ESTP,INFP_to_ESTP,A_history_to_B,1,0,1,failed
INFP,ESTP,INFP_to_ESTP,A_summary_to_B,1,0,1,failed
INFP,INFJ,INFP_to_INFJ,A_history_to_B,1,0,1,failed
INFP,INFJ,INFP_to_INFJ,A_summary_to_B,0,1,1,successful
INFP,INTJ,INFP_to_INTJ,A_history_to_B,1,0,1,failed
INFP,INTJ,INFP_to_INTJ,A_summary_to_B,0,1,1,successful
INFP,INTP,INFP_to_INTP,A_history_to_B,1,0,1,failed
INFP,INTP,INFP_to_INTP,A_summary_to_B,0,1,1,successful
INFP,ISFJ,INFP_to_ISFJ,A_history_to_B,1,0,1,failed
INFP,ISFJ,INFP_to_ISFJ,A_summary_to_B,0,1,1,successful
INFP,ISFP,INFP_to_ISFP,A_history_to_B,1,0,1,failed
INFP,ISFP,INFP_to_ISFP,A_summary_to_B,1,0,1,failed
INFP,ISTJ,INFP_to_ISTJ,A_history_to_B,1,0,1,failed
INFP,ISTJ,INFP_to_ISTJ,A_summary_to_B,0,1,1,successful
INFP,ISTP,INFP_to_ISTP,A_history_to_B,1,0,1,failed
INFP,ISTP,INFP_to_ISTP,A_summary_to_B,0,1,1,successful
INTJ,ENFJ,INTJ_to_ENFJ,A_history_to_B,1,0,1,failed
INTJ,ENFJ,INTJ_to_ENFJ,A_summary_to_B,0,1,1,successful
INTJ,ENFP,INTJ_to_ENFP,A_history_to_B,1,0,1,failed
INTJ,ENFP,INTJ_to_ENFP,A_summary_to_B,0,1,1,successful
INTJ,ENTJ,INTJ_to_ENTJ,A_history_to_B,1,0,1,failed
INTJ,ENTJ,INTJ_to_ENTJ,A_summary_to_B,0,1,1,successful
INTJ,ENTP,INTJ_to_ENTP,A_history_to_B,1,0,1,failed
INTJ,ENTP,INTJ_to_ENTP,A_summary_to_B,0,1,1,successful
INTJ,ESFJ,INTJ_to_ESFJ,A_history_to_B,1,0,1,failed
INTJ,ESFJ,INTJ_to_ESFJ,A_summary_to_B,0,1,1,successful
INTJ,ESFP,INTJ_to_ESFP,A_history_to_B,1,0,1,failed
INTJ,ESFP,INTJ_to_ESFP,A_summary_to_B,1,0,1,failed
INTJ,ESTJ,INTJ_to_ESTJ,A_history_to_B,1,0,1,failed
INTJ,ESTJ,INTJ_to_ESTJ,A_summary_to_B,0,1,1,successful
INTJ,ESTP,INTJ_to_ESTP,A_history_to_B,1,0,1,failed
INTJ,ESTP,INTJ_to_ESTP,A_summary_to_B,0,1,1,successful
INTJ,INFJ,INTJ_to_INFJ,A_history_to_B,1,0,1,failed
INTJ,INFJ,INTJ_to_INFJ,A_summary_to_B,0,1,1,successful
INTJ,INFP,INTJ_to_INFP,A_history_to_B,1,0,1,failed
INTJ,INFP,INTJ_to_INFP,A_summary_to_B,0,1,1,successful
INTJ,INTP,INTJ_to_INTP,A_history_to_B,1,0,1,failed
INTJ,INTP,INTJ_to_INTP,A_summary_to_B,1,0,1,failed
INTJ,ISFJ,INTJ_to_ISFJ,A_history_to_B,1,0,1,failed
INTJ,ISFJ,INTJ_to_ISFJ,A_summary_to_B,0,1,1,successful
INTJ,ISFP,INTJ_to_ISFP,A_history_to_B,1,0,1,failed
INTJ,ISFP,INTJ_to_ISFP,A_summary_to_B,1,0,1,failed
INTJ,ISTJ,INTJ_to_ISTJ,A_history_to_B,0,1,1,successful
INTJ,ISTJ,INTJ_to_ISTJ,A_summary_to_B,0,1,1,successful
INTJ,ISTP,INTJ_to_ISTP,A_history_to_B,1,0,1,failed
INTJ,ISTP,INTJ_to_ISTP,A_summary_to_B,0,1,1,successful
INTP,ENFJ,INTP_to_ENFJ,A_history_to_B,0,1,1,successful
INTP,ENFJ,INTP_to_ENFJ,A_summary_to_B,0,1,1,successful
INTP,ENFP,INTP_to_ENFP,A_history_to_B,0,1,1,successful
INTP,ENFP,INTP_to_ENFP,A_summary_to_B,0,1,1,successful
INTP,ENTJ,INTP_to_ENTJ,A_history_to_B,0,1,1,successful
INTP,ENTJ,INTP_to_ENTJ,A_summary_to_B,0,1,1,successful
INTP,ENTP,INTP_to_ENTP,A_history_to_B,0,1,1,successful
INTP,ENTP,INTP_to_ENTP,A_summary_to_B,0,1,1,successful
INTP,ESFJ,INTP_to_ESFJ,A_history_to_B,1,0,1,failed
INTP,ESFJ,INTP_to_ESFJ,A_summary_to_B,0,1,1,successful
INTP,ESFP,INTP_to_ESFP,A_history_to_B,1,0,1,failed
INTP,ESFP,INTP_to_ESFP,A_summary_to_B,1,0,1,failed
INTP,ESTJ,INTP_to_ESTJ,A_history_to_B,0,1,1,successful
