persona_a,persona_b,pair_id,task_type,retain_mechanism,default_switch_condition,default_matched_control_condition,strong_switch_condition,strong_matched_control_condition,primary_gap_metric_name,default_primary_gap_abs,strong_primary_gap_abs,primary_gap_change,default_scs,strong_scs,scs_change,default_rai,strong_rai,rai_change,improved_distance_to_matched_b_control,improved_primary_gap,reduced_a_influence,rq2_improved
ISFJ,INFP,ISFJ_to_INFP,mbti_mcq,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,osr_gap_abs_vs_matched_b_control,0.5,0.5,0.0,0.5914,0.5914,0.0,0.3548,0.2581,-0.0967,False,False,True,False
ISFJ,INFP,ISFJ_to_INFP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,osr_gap_abs_vs_matched_b_control,0.25,0.0,-0.25,0.8602,0.8817,0.0215,-0.2043,-0.3548,-0.1505,True,True,True,True
ISFJ,INFP,ISFJ_to_INFP,machine_mindset,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0425,0.0283,-0.0142,0.1667,0.2333,0.0666,0.0493,0.0076,-0.0417,True,True,True,True
ISFJ,INFP,ISFJ_to_INFP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0027,0.0117,0.009,0.4667,0.4,-0.0667,-0.0539,-0.0557,-0.0018,False,False,True,False
ISFJ,INFP,ISFJ_to_INFP,ifeval,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0334,0.0,-0.0334,0.5012,0.4561,-0.0451,-0.0163,-0.0536,-0.0373,True,False,True,True
ISFJ,INFP,ISFJ_to_INFP,ifeval,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0,0.0667,0.0667,0.4576,0.4358,-0.0218,-0.0424,-0.0615,-0.0191,False,False,True,False
ENTP,ENFJ,ENTP_to_ENFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,osr_gap_abs_vs_matched_b_control,0.5,0.5,0.0,0.6022,0.5699,-0.0323,0.2903,0.3226,0.0323,False,False,False,False
ENTP,ENFJ,ENTP_to_ENFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,osr_gap_abs_vs_matched_b_control,0.25,0.0,-0.25,0.8172,0.8925,0.0753,-0.0753,-0.1613,-0.086,True,True,True,True
ENTP,ENFJ,ENTP_to_ENFJ,machine_mindset,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.1513,0.1164,-0.0349,0.1333,0.1,-0.0333,0.0878,0.08,-0.0078,False,True,True,True
ENTP,ENFJ,ENTP_to_ENFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0538,0.0334,-0.0204,0.3667,0.4,0.0333,-0.0304,-0.014,0.0164,True,True,False,True
ENTP,ENFJ,ENTP_to_ENFJ,ifeval,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0667,0.0,-0.0667,0.4941,0.5139,0.0198,-0.0386,-0.1426,-0.104,True,False,True,True
ENTP,ENFJ,ENTP_to_ENFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0334,0.0667,0.0333,0.4497,0.482,0.0323,-0.0202,-0.098,-0.0778,False,False,True,True
ENTP,ISFJ,ENTP_to_ISFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,osr_gap_abs_vs_matched_b_control,1.0,1.0,0.0,0.3011,0.3548,0.0537,0.5591,0.4194,-0.1397,True,False,True,True
ENTP,ISFJ,ENTP_to_ISFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,osr_gap_abs_vs_matched_b_control,0.25,0.0,-0.25,0.7204,0.8925,0.1721,-0.3226,-0.5591,-0.2365,True,True,True,True
ENTP,ISFJ,ENTP_to_ISFJ,machine_mindset,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.1489,0.086,-0.0629,0.0333,0.4333,0.4,0.0763,0.0015,-0.0748,True,True,True,True
ENTP,ISFJ,ENTP_to_ISFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0213,0.0044,-0.0169,0.3333,0.3,-0.0333,-0.0683,-0.0867,-0.0184,False,True,True,True
ENTP,ISFJ,ENTP_to_ISFJ,ifeval,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0,0.1333,0.1333,0.5042,0.4745,-0.0297,-0.0623,-0.1068,-0.0445,False,False,True,False
ENTP,ISFJ,ENTP_to_ISFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0,0.0667,0.0667,0.4764,0.4857,0.0093,-0.0301,-0.1236,-0.0935,False,False,True,True
ENTP,ISTP,ENTP_to_ISTP,mbti_mcq,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,osr_gap_abs_vs_matched_b_control,0.5,0.5,0.0,0.5914,0.5914,0.0,0.2366,0.2151,-0.0215,False,False,True,False
ENTP,ISTP,ENTP_to_ISTP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,osr_gap_abs_vs_matched_b_control,0.25,0.5,0.25,0.7527,0.871,0.1183,-0.0215,-0.1613,-0.1398,True,False,True,True
ENTP,ISTP,ENTP_to_ISTP,machine_mindset,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0177,0.0031,-0.0146,0.1333,0.3667,0.2334,0.0314,0.0203,-0.0111,True,True,True,True
ENTP,ISTP,ENTP_to_ISTP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0031,0.0011,-0.002,0.2667,0.3667,0.1,-0.0044,-0.0172,-0.0128,True,True,True,True
ENTP,ISTP,ENTP_to_ISTP,ifeval,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0,0.0333,0.0333,0.4946,0.4734,-0.0212,-0.0566,-0.0997,-0.0431,False,False,True,False
ENTP,ISTP,ENTP_to_ISTP,ifeval,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0333,0.0667,0.0334,0.4998,0.4505,-0.0493,-0.0726,-0.1105,-0.0379,False,False,True,False
ENTP,ESFJ,ENTP_to_ESFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,osr_gap_abs_vs_matched_b_control,0.75,0.75,0.0,0.4194,0.4624,0.043,0.4839,0.4301,-0.0538,True,False,True,True
ENTP,ESFJ,ENTP_to_ESFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,osr_gap_abs_vs_matched_b_control,0.25,0.0,-0.25,0.7419,0.9247,0.1828,-0.129,-0.4409,-0.3119,True,True,True,True
ENTP,ESFJ,ENTP_to_ESFJ,machine_mindset,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.1001,0.0767,-0.0234,0.1,0.0667,-0.0333,0.0889,0.0876,-0.0013,False,True,True,True
ENTP,ESFJ,ENTP_to_ESFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0236,0.0166,-0.007,0.2333,0.5667,0.3334,0.0102,-0.0597,-0.0699,True,True,True,True
ENTP,ESFJ,ENTP_to_ESFJ,ifeval,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.1,0.0333,-0.0667,0.4541,0.4601,0.006,-0.0315,-0.0794,-0.0479,True,False,True,True
ENTP,ESFJ,ENTP_to_ESFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0333,0.0,-0.0333,0.4911,0.4693,-0.0218,-0.0905,-0.1194,-0.0289,True,False,True,True
ISTJ,INTJ,ISTJ_to_INTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,osr_gap_abs_vs_matched_b_control,0.25,0.25,0.0,0.8065,0.8065,0.0,0.1398,0.1935,0.0537,False,False,False,False
ISTJ,INTJ,ISTJ_to_INTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,osr_gap_abs_vs_matched_b_control,0.25,0.25,0.0,0.871,0.8925,0.0215,0.0215,-0.0108,-0.0323,True,False,True,True
ISTJ,INTJ,ISTJ_to_INTJ,machine_mindset,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0227,0.0179,-0.0048,0.1667,0.3667,0.2,0.0354,0.0214,-0.014,True,True,True,True
ISTJ,INTJ,ISTJ_to_INTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0031,0.0103,0.0072,0.4,0.4333,0.0333,-0.0144,-0.045,-0.0306,True,False,True,True
ISTJ,INTJ,ISTJ_to_INTJ,ifeval,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0334,0.0334,0.0,0.5431,0.4523,-0.0908,-0.0865,-0.0343,0.0522,False,False,False,False
ISTJ,INTJ,ISTJ_to_INTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0333,0.0,-0.0333,0.4822,0.4935,0.0113,-0.0235,-0.0745,-0.051,True,False,True,True
ISTJ,ENTP,ISTJ_to_ENTP,mbti_mcq,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,osr_gap_abs_vs_matched_b_control,0.75,0.75,0.0,0.3011,0.3226,0.0215,0.6559,0.6559,0.0,True,False,False,False
ISTJ,ENTP,ISTJ_to_ENTP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,osr_gap_abs_vs_matched_b_control,0.25,0.0,-0.25,0.7849,0.914,0.1291,-0.2581,-0.5591,-0.301,True,True,True,True
ISTJ,ENTP,ISTJ_to_ENTP,machine_mindset,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0109,0.0011,-0.0098,0.2333,0.2667,0.0334,0.0027,-0.0362,-0.0389,True,True,True,True
ISTJ,ENTP,ISTJ_to_ENTP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0155,0.0448,0.0293,0.3667,0.4667,0.1,-0.1026,-0.092,0.0106,True,False,False,False
ISTJ,ENTP,ISTJ_to_ENTP,ifeval,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0333,0.0667,0.0334,0.4512,0.4752,0.024,0.0219,-0.0608,-0.0827,False,False,True,True
ISTJ,ENTP,ISTJ_to_ENTP,ifeval,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0333,0.0333,0.0,0.4162,0.427,0.0108,-0.0194,-0.0876,-0.0682,False,False,True,True
ISTJ,ISTP,ISTJ_to_ISTP,mbti_mcq,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,osr_gap_abs_vs_matched_b_control,0.25,0.25,0.0,0.7957,0.7957,0.0,0.1505,0.1935,0.043,False,False,False,False
ISTJ,ISTP,ISTJ_to_ISTP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,osr_gap_abs_vs_matched_b_control,0.25,0.25,0.0,0.828,0.871,0.043,0.043,-0.1183,-0.1613,True,False,True,True
ISTJ,ISTP,ISTJ_to_ISTP,machine_mindset,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0319,0.0703,0.0384,0.2333,0.2,-0.0333,0.0485,0.0362,-0.0123,False,False,True,False
ISTJ,ISTP,ISTJ_to_ISTP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0334,0.0476,0.0142,0.1667,0.2667,0.1,-0.0148,-0.0107,0.0041,True,False,False,False
ISTJ,ISTP,ISTJ_to_ISTP,ifeval,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0,0.0334,0.0334,0.533,0.4682,-0.0648,-0.0638,-0.064,-0.0002,False,False,True,False
ISTJ,ISTP,ISTJ_to_ISTP,ifeval,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0333,0.0,-0.0333,0.4875,0.4459,-0.0416,-0.0343,-0.0548,-0.0205,True,False,True,True
ISTJ,ENFP,ISTJ_to_ENFP,mbti_mcq,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,osr_gap_abs_vs_matched_b_control,1.0,1.0,0.0,0.0753,0.0968,0.0215,0.871,0.8495,-0.0215,True,False,True,True
ISTJ,ENFP,ISTJ_to_ENFP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,osr_gap_abs_vs_matched_b_control,0.25,0.0,-0.25,0.8172,0.871,0.0538,-0.5161,-0.6344,-0.1183,True,True,True,True
ISTJ,ENFP,ISTJ_to_ENFP,machine_mindset,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0394,0.0157,-0.0237,0.0333,0.2333,0.2,0.0998,-0.0484,-0.1482,True,True,True,True
ISTJ,ENFP,ISTJ_to_ENFP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.027,0.0127,-0.0143,0.4667,0.4667,0.0,-0.1127,-0.1278,-0.0151,False,True,True,True
ISTJ,ENFP,ISTJ_to_ENFP,ifeval,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0334,0.0,-0.0334,0.5179,0.4398,-0.0781,-0.0507,-0.0579,-0.0072,True,False,True,True
ISTJ,ENFP,ISTJ_to_ENFP,ifeval,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.1,0.0,-0.1,0.4149,0.4713,0.0564,-0.0464,-0.1698,-0.1234,True,False,True,True
ISTJ,INFP,ISTJ_to_INFP,mbti_mcq,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,osr_gap_abs_vs_matched_b_control,0.75,0.75,0.0,0.2688,0.2688,0.0,0.6882,0.6989,0.0107,False,False,False,False
ISTJ,INFP,ISTJ_to_INFP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,osr_gap_abs_vs_matched_b_control,0.25,0.25,0.0,0.7312,0.8495,0.1183,-0.2151,-0.4946,-0.2795,True,False,True,True
ISTJ,INFP,ISTJ_to_INFP,machine_mindset,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0771,0.0462,-0.0309,0.0333,0.1333,0.1,0.0964,0.053,-0.0434,True,True,True,True
ISTJ,INFP,ISTJ_to_INFP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0022,0.0299,0.0277,0.4333,0.4333,0.0,-0.0696,-0.1213,-0.0517,False,False,True,False
ISTJ,INFP,ISTJ_to_INFP,ifeval,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0334,0.0,-0.0334,0.4727,0.5027,0.03,-0.008,-0.1095,-0.1015,True,False,True,True
ISTJ,INFP,ISTJ_to_INFP,ifeval,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0666,0.1,0.0334,0.4565,0.4498,-0.0067,-0.058,-0.1322,-0.0742,False,False,True,False
INTJ,INFJ,INTJ_to_INFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,osr_gap_abs_vs_matched_b_control,0.25,0.5,0.25,0.6344,0.6129,-0.0215,0.2903,0.0968,-0.1935,False,False,True,False
INTJ,INFJ,INTJ_to_INFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9247,0.9032,-0.0215,-0.2366,-0.4194,-0.1828,False,False,True,False
INTJ,INFJ,INTJ_to_INFJ,machine_mindset,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0747,0.0678,-0.0069,0.0333,0.1667,0.1334,0.0634,0.0619,-0.0015,True,True,True,True
INTJ,INFJ,INTJ_to_INFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0037,0.0135,0.0098,0.3,0.4,0.1,-0.0587,-0.034,0.0247,True,False,False,False
INTJ,INFJ,INTJ_to_INFJ,ifeval,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0,0.0333,0.0333,0.4939,0.4837,-0.0102,-0.0539,-0.0752,-0.0213,False,False,True,False
INTJ,INFJ,INTJ_to_INFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0666,0.1,0.0334,0.4449,0.4931,0.0482,0.0067,-0.1348,-0.1415,False,False,True,True
INTJ,ENFJ,INTJ_to_ENFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,osr_gap_abs_vs_matched_b_control,0.5,0.5,0.0,0.4086,0.3978,-0.0108,0.5269,0.3011,-0.2258,False,False,True,False
INTJ,ENFJ,INTJ_to_ENFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.8602,0.8495,-0.0107,-0.3548,-0.5269,-0.1721,False,False,True,False
INTJ,ENFJ,INTJ_to_ENFJ,machine_mindset,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0981,0.0512,-0.0469,0.0333,0.1333,0.1,0.0699,-0.0069,-0.0768,True,True,True,True
INTJ,ENFJ,INTJ_to_ENFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0153,0.0063,-0.009,0.5,0.4,-0.1,-0.0984,-0.0942,0.0042,False,True,False,False
INTJ,ENFJ,INTJ_to_ENFJ,ifeval,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.5449,0.4658,-0.0791,-0.1046,-0.0608,0.0438,False,False,False,False
INTJ,ENFJ,INTJ_to_ENFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0334,0.0,-0.0334,0.4663,0.4703,0.004,-0.0683,-0.1551,-0.0868,True,False,True,True
INTJ,ISFJ,INTJ_to_ISFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,osr_gap_abs_vs_matched_b_control,0.5,0.25,-0.25,0.6022,0.6022,0.0,0.3011,0.1075,-0.1936,False,True,True,True
INTJ,ISFJ,INTJ_to_ISFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.8925,0.914,0.0215,-0.3011,-0.4946,-0.1935,True,False,True,True
INTJ,ISFJ,INTJ_to_ISFJ,machine_mindset,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0802,0.0728,-0.0074,0.1,0.3667,0.2667,0.0514,-0.0162,-0.0676,True,True,True,True
